chrom	length	bases	mean	min	max
TE_00000103#DNA/DTC	1641	1459959	889.68	0	4024
TE_00000193#DNA/DTC	1240	1019581	822.24	0	3674
TE_00000220#DNA/DTC	2856	527892	184.84	0	1038
TE_00000224#DNA/DTC	5749	20271272	3526.05	0	5634
TE_00000237#DNA/DTC	1299	3204229	2466.69	0	4169
TE_00000272#DNA/DTC	675	1781742	2639.62	1	4520
TE_00000354#DNA/DTM	2341	632511	270.19	18	395
TE_00000384#DNA/DTC	1579	240334	152.21	0	955
TE_00000510#DNA/DTM	485	57650	118.87	2	203
TE_00000524#DNA/DTM	325	8743	26.90	0	120
TE_00000634#DNA/DTM	3366	1087565	323.10	2	506
TE_00000675#DNA/DTM	2695	374999	139.15	0	365
TE_00000732#DNA/DTH	3278	30070	9.17	0	31
TE_00000783#DNA/Helitron	6526	34073	5.22	0	111
TE_00000784#DNA/Helitron	8348	16633658	1992.53	0	15104
TE_00000785#DNA/Helitron	3599	168062	46.70	0	279
TE_00000786#DNA/Helitron	12458	386233	31.00	0	354
TE_00000787#DNA/Helitron	6421	366427	57.07	0	866
TE_00000788#DNA/DTC	3202	29204	9.12	0	147
TE_00000789#DNA/Helitron	7874	13233741	1680.69	0	4898
TE_00000790#DNA/DTC	3668	131343	35.81	4	111
TE_00000791#DNA/DTC	2267	10898	4.81	0	16
TE_00000792#DNA/DTT	1096	6908	6.30	1	39
TE_00000793#DNA/Helitron	12056	769297	63.81	0	548
TE_00000794#DNA/DTC	2066	7440	3.60	0	58
TE_00000795#DNA/Helitron	1223	37488	30.65	1	67
TE_00000796#DNA/DTT	1660	32646	19.67	0	85
TE_00000797#DNA/DTM	1816	44890	24.72	0	129
TE_00000798#DNA/DTT	767	20104	26.21	0	130
TE_00000799#DNA/DTM	929	9225	9.93	0	67
TE_00000800#DNA/DTT	1148	8930	7.78	0	101
TE_00000801#DNA/Helitron	13089	346385	26.46	0	808
TE_00000802#DNA/DTT	3497	15388	4.40	0	21
TE_00000803#DNA/DTT	2554	11353	4.45	0	174
TE_00000804#DNA/DTM	2128	51460	24.18	0	301
TE_00000805#DNA/DTM	1204	8015	6.66	0	27
TE_00000806#DNA/DTC	3043	81557	26.80	1	53
TE_00000807#DNA/DTH	1023	15816	15.46	0	114
TE_00000808#DNA/DTT	3465	36573	10.55	0	279
TE_00000809#DNA/DTC	1266	3410	2.69	0	13
TE_00000810#DNA/Helitron	12187	280703	23.03	0	564
TE_00000811#DNA/DTM	2061	18769	9.11	0	185
TE_00000812#DNA/Helitron	9288	147095	15.84	0	194
TE_00000813#DNA/DTT	2965	87429	29.49	0	1018
TE_00000814#DNA/DTC	812	111132	136.86	35	201
TE_00000815#DNA/DTM	2196	272746	124.20	0	382
